"schema";"priority";"id";"version";"year";"theme";"focus";"contexts";"cognitive";"difficulty";"question";"option_A";"option_B";"option_C";"option_D";"correct";"solution";"error_hypothesis";"semantic_signature";"why_priority";"reviewer";"decision";"note";"check_math";"check_clarity";"check_unique";"check_distractors";"check_solution";"check_taxonomy";"check_difficulty";"check_hypothesis"
"teacher-review-v1";"1";"BG10F-REP-1";"1";"10.º";"Funções";"Representações";"mission | training | exam";"Aplicação";"2";"O gráfico de uma função afim passa pelos pontos (0,3) e (2,7). Qual pode ser a sua expressão?";"f(x)=2x+3";"f(x)=3x+2";"f(x)=2x+7";"f(x)=4x+3";"A";"O declive é (7−3)/(2−0)=2 e f(0)=3, logo f(x)=2x+3.";"Pode existir dificuldade em relacionar representação gráfica, declive e expressão algébrica.";"10-fun:Representações:beta-gap-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame · novo tema para Mini-exame · novo tipo cognitivo para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"2";"BG12FC-CON-1";"1";"12.º";"Continuidade e derivabilidade";"Continuidade";"mission | training | exam";"Raciocínio";"2";"Considere f(x)=(x²−1)/(x−1), para x≠1, e f(1)=k. Qual deve ser o valor de k para f ser contínua em x=1?";"0";"1";"2";"Não existe tal valor";"C";"Para x≠1, f(x)=x+1. Assim, lim(x→1)f(x)=2. Para haver continuidade é necessário f(1)=2.";"Pode existir dificuldade em usar a igualdade entre limite e valor da função para garantir continuidade.";"12-fcont:Continuidade:beta-gap-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame · novo tema para Mini-exame · novo tipo cognitivo para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"3";"M11D-1";"1";"11.º";"Cálculo diferencial";"Derivadas";"mission | training | exam";"Procedimento";"2";"Qual é a derivada de 3x²−2x?";"6x−2";"3x−2";"6x";"x²−2";"A";"(3x²−2x)'=6x−2.";"Pode haver dificuldade nas regras básicas de derivação.";"11-cd:Derivadas:M11D-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame · novo tema para Mini-exame · novo tipo cognitivo para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"4";"BG12E-MOD-1";"1";"12.º";"Exponenciais e logaritmos";"Modelação";"mission | training | exam";"Modelação";"2";"Uma cultura começa com 500 bactérias e duplica de 3 em 3 horas. Qual expressão modela o número N de bactérias ao fim de t horas?";"N(t)=500·2^(t/3)";"N(t)=500·3^(t/2)";"N(t)=500+2t/3";"N(t)=1000·2^t";"A";"Há um fator 2 por cada intervalo de 3 horas, logo o número de duplicações ao fim de t horas é t/3: N(t)=500·2^(t/3).";"Pode existir dificuldade em transformar uma taxa de crescimento por intervalos num expoente temporal.";"12-expl:Modelação:beta-gap-1";"1.ª evidência de foco crítico · novo item independente para Mini-exame · novo tema para Mini-exame · novo tipo cognitivo para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"5";"M12P-2";"1";"12.º";"Probabilidades";"Independência";"mission | training | exam";"Compreensão";"2";"Se A e B são independentes, saber que B ocorreu...";"torna A impossível";"não altera P(A)";"obriga A a ocorrer";"faz P(A)=P(B)";"B";"Independência significa ausência de alteração na probabilidade de A.";"Pode estar a confundir independência com incompatibilidade.";"12-prob:Independência:M12P-2";"1.ª evidência de foco crítico · novo item independente para Mini-exame · novo tema para Mini-exame · novo tipo cognitivo para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"6";"M11T-4";"1";"11.º";"Trigonometria";"Razões trigonométricas";"mission | training | exam";"Conhecimento";"2";"Quanto vale sin(π/6)?";"0";"1/2";"√2/2";"1";"B";"sin(π/6)=1/2.";"Pode faltar um valor trigonométrico notável.";"11-trig:Razões trigonométricas:M11T-4";"1.ª evidência de foco crítico · novo item independente para Mini-exame · novo tema para Mini-exame · novo tipo cognitivo para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"7";"M10F-2";"1";"10.º";"Funções";"Representações";"mission | training | exam";"Interpretação";"2";"Se o gráfico de f corta o eixo Ox em x=−1, então...";"f(−1)=0";"f(0)=−1";"f(−1)=1";"−1 não pertence ao domínio";"A";"Intersetar o eixo Ox significa ter ordenada 0.";"Pode haver dificuldade na leitura gráfica de zeros.";"10-fun:Representações:M10F-2";"2.ª evidência de foco crítico · novo item independente para Mini-exame · novo tipo cognitivo para Mini-exame";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"8";"D10F-A";"1";"10.º";"Funções";"Domínio e zeros";"diagnostic";"Aplicação";"2";"A função f(x)=x²−4 tem que zeros?";"−4 e 4";"−2 e 2";"0 e 4";"apenas 2";"B";"f(x)=0 ⇔ x²=4 ⇔ x=−2 ou x=2.";"Pode existir uma dificuldade na leitura de zeros ou na resolução de uma equação quadrática simples.";"10-fun:Domínio e zeros:D10F";"fecha âncora do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"9";"D11D-A";"1";"11.º";"Cálculo diferencial";"Monotonia e extremos";"diagnostic";"Interpretação";"2";"Se f'(x)>0 em todo o intervalo ]1,4[, o que podemos concluir?";"f é crescente nesse intervalo";"f é decrescente nesse intervalo";"f é negativa nesse intervalo";"f tem necessariamente um máximo em x=2";"A";"Derivada positiva indica que a função é crescente nesse intervalo.";"Pode existir uma lacuna na interpretação do sinal da derivada.";"11-cd:Monotonia e extremos:D11D";"fecha âncora do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
"teacher-review-v1";"10";"D12E-A";"1";"12.º";"Exponenciais e logaritmos";"Exponenciais";"diagnostic";"Aplicação";"2";"Qual é a solução de 2^x=8?";"2";"3";"4";"8";"B";"8=2³, logo x=3.";"Pode haver dificuldade em relacionar potências e equações exponenciais.";"12-expl:Exponenciais:D12E";"fecha âncora do diagnóstico";"";"";"";"";"";"";"";"";"";"";""
