"priority";"id";"year";"theme";"focus";"contexts";"cognitive";"difficulty";"question";"optionA";"optionB";"optionC";"optionD";"correct";"solution";"errorHypothesis";"signature";"reviewReason";"currentStatus"
"1";"D10F-A";"10.º";"Funções";"Domínio e zeros";"diagnostic";"Aplicação";"2";"A função f(x)=x²−4 tem que zeros?";"−4 e 4";"0 e 4";"−2 e 2";"apenas 2";"C";"f(x)=0 ⇔ x²=4 ⇔ x=−2 ou x=2.";"Pode existir uma dificuldade na leitura de zeros ou na resolução de uma equação quadrática simples.";"10-fun:Domínio e zeros:D10F";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"2";"D10F-E";"10.º";"Funções";"Domínio e zeros";"diagnostic";"Aplicação";"1";"Qual é o zero de f(x)=x−5?";"−5";"0";"5";"1";"C";"x−5=0 ⇔ x=5.";"Pode existir uma dificuldade muito básica na noção de zero de uma função.";"10-fun:zeros:easy";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"3";"D10F-H";"10.º";"Funções";"Monotonia e extremos";"diagnostic";"Raciocínio";"3";"A função f(x)=−(x−1)²+4 tem máximo igual a...";"−4";"4";"1";"5";"B";"O vértice é (1,4), logo o máximo é 4.";"Pode existir dificuldade em interpretar a forma de vértice.";"10-fun:extremos:hard";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"4";"D11D-A";"11.º";"Cálculo diferencial";"Monotonia e extremos";"diagnostic";"Interpretação";"2";"Se f'(x)>0 em todo o intervalo ]1,4[, o que podemos concluir?";"f é decrescente nesse intervalo";"f é crescente nesse intervalo";"f é negativa nesse intervalo";"f tem necessariamente um máximo em x=2";"B";"Derivada positiva indica que a função é crescente nesse intervalo.";"Pode existir uma lacuna na interpretação do sinal da derivada.";"11-cd:Monotonia e extremos:D11D";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"5";"D11D-E";"11.º";"Cálculo diferencial";"Derivadas";"diagnostic";"Procedimento";"1";"Qual é a derivada de f(x)=x²?";"x";"2x";"x²";"2";"B";"(x²)'=2x.";"Pode existir uma dificuldade numa regra elementar de derivação.";"11-cd:derivadas:easy";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"6";"D11D-H";"11.º";"Cálculo diferencial";"Monotonia e extremos";"diagnostic";"Raciocínio";"3";"Se f' é positiva antes de x=3 e negativa depois de x=3, então f tem em x=3...";"um mínimo local";"uma assíntota";"um máximo local";"um zero obrigatório";"C";"A função passa de crescente para decrescente: existe um máximo local.";"Pode existir dificuldade em ligar o sinal da derivada à monotonia e aos extremos.";"11-cd:extremos:hard";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"7";"D10F-P";"10.º";"Funções";"Domínio e zeros";"diagnostic";"Compreensão";"1";"Se f(3)=0, o que significa geometricamente?";"O gráfico passa por (0,3)";"3 é um zero da função";"A função é constante";"O domínio termina em 3";"B";"f(3)=0 significa que x=3 é um zero da função.";"A dificuldade pode estar no próprio significado de zero de uma função.";"10-fun:Domínio e zeros:D10F";"diagnóstico · tema-núcleo · probe · foco sem revisão";"prototype"
"8";"D11D-P";"11.º";"Cálculo diferencial";"Derivadas";"diagnostic";"Procedimento";"1";"Qual é a derivada de f(x)=5x?";"5x";"x";"5";"0";"C";"A derivada de uma função linear ax é a constante a; logo (5x)'=5.";"A dificuldade pode estar numa regra elementar de derivação.";"11-cd:Derivadas:D11D";"diagnóstico · tema-núcleo · probe · foco sem revisão";"prototype"
"9";"D12E-A";"12.º";"Exponenciais e logaritmos";"Exponenciais";"diagnostic";"Aplicação";"2";"Qual é a solução de 2^x=8?";"2";"3";"4";"8";"B";"8=2³, logo x=3.";"Pode haver dificuldade em relacionar potências e equações exponenciais.";"12-expl:Exponenciais:D12E";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
"10";"D12E-E";"12.º";"Exponenciais e logaritmos";"Exponenciais";"diagnostic";"Aplicação";"1";"Quanto vale 2³?";"5";"8";"6";"9";"B";"2³=2×2×2=8.";"Pode existir uma dificuldade muito básica com potências.";"12-expl:potencias:easy";"diagnóstico · tema-núcleo · âncora · foco sem revisão";"prototype"
